Port:              P008
Site:              Portsmouth
Latitude:          50.80256
Longitude:         -1.11175
Start Date:        01JAN2021-00.00.00
End Date:          31JAN2021-23.45.00
Contributor:       National Oceanography Centre, Liverpool
Datum information: The data refer to Admiralty Chart Datum (ACD)
Parameter code:    ASLVBG02 = Surface elevation (unspecified datum) of the water body by bubbler tide gauge (second sensor)
  Cycle    Date      Time    ASLVBG02   Residual  
 Number yyyy mm dd hh mi ssf         f          f 
   399) 2021/01/05 03:30:00     4.188     -0.237  
   400) 2021/01/05 03:45:00     4.167     -0.239  
   401) 2021/01/05 04:00:00     4.135     -0.245  
   402) 2021/01/05 04:15:00     4.101     -0.249  
   403) 2021/01/05 04:30:00     4.076     -0.238  
   404) 2021/01/05 04:45:00     4.049     -0.216  
   405) 2021/01/05 05:00:00     4.006     -0.185  
   406) 2021/01/05 05:15:00     3.929     -0.155  
   407) 2021/01/05 05:30:00     3.790     -0.148  
   408) 2021/01/05 05:45:00     3.590     -0.165  
   409) 2021/01/05 06:00:00     3.353     -0.187  
   410) 2021/01/05 06:15:00     3.094     -0.207  
   411) 2021/01/05 06:30:00     2.814     -0.230  
   412) 2021/01/05 06:45:00     2.529     -0.248  
   413) 2021/01/05 07:00:00     2.241     -0.265  
   414) 2021/01/05 07:15:00     1.958     -0.282  
   415) 2021/01/05 07:30:00     1.695     -0.298  
   416) 2021/01/05 07:45:00     1.477     -0.300  
   417) 2021/01/05 08:00:00     1.315     -0.291  
   418) 2021/01/05 08:15:00     1.222     -0.268  
   419) 2021/01/05 08:30:00     1.206     -0.226  
   420) 2021/01/05 08:45:00     1.247     -0.181  
   421) 2021/01/05 09:00:00     1.322     -0.145  
   422) 2021/01/05 09:15:00     1.416     -0.119  
   423) 2021/01/05 09:30:00     1.536     -0.085  
   424) 2021/01/05 09:45:00     1.660     -0.053  
   425) 2021/01/05 10:00:00     1.775     -0.031  
   426) 2021/01/05 10:15:00     1.886     -0.010  
   427) 2021/01/05 10:30:00     1.979     -0.002  
   428) 2021/01/05 10:45:00     2.055     -0.005  
   429) 2021/01/05 11:00:00     2.114     -0.019  
   430) 2021/01/05 11:15:00     2.152     -0.051  
   431) 2021/01/05 11:30:00     2.186     -0.088  
   432) 2021/01/05 11:45:00     2.234     -0.120  
   433) 2021/01/05 12:00:00     2.311     -0.140  
   434) 2021/01/05 12:15:00     2.427     -0.143  
   435) 2021/01/05 12:30:00     2.570     -0.141  
   436) 2021/01/05 12:45:00     2.734     -0.138  
   437) 2021/01/05 13:00:00     2.907     -0.138  
   438) 2021/01/05 13:15:00     3.080     -0.142  
   439) 2021/01/05 13:30:00     3.260     -0.137  
   440) 2021/01/05 13:45:00     3.439     -0.127  
   441) 2021/01/05 14:00:00     3.614     -0.112  
   442) 2021/01/05 14:15:00     3.781     -0.096  
   443) 2021/01/05 14:30:00     3.927     -0.087  
   444) 2021/01/05 14:45:00     4.040     -0.090  
   445) 2021/01/05 15:00:00     4.122     -0.096  
   446) 2021/01/05 15:15:00     4.166     -0.107  
   447) 2021/01/05 15:30:00     4.179     -0.114  
   448) 2021/01/05 15:45:00     4.160     -0.123  
   449) 2021/01/05 16:00:00     4.113     -0.138  
   450) 2021/01/05 16:15:00     4.059     -0.149  
   451) 2021/01/05 16:30:00     4.007     -0.154  
   452) 2021/01/05 16:45:00     3.969     -0.142  
   453) 2021/01/05 17:00:00     3.943     -0.111  
   454) 2021/01/05 17:15:00     3.907     -0.073  
   455) 2021/01/05 17:30:00     3.836     -0.046  
   456) 2021/01/05 17:45:00     3.707     -0.045  
   457) 2021/01/05 18:00:00     3.524     -0.065  
   458) 2021/01/05 18:15:00     3.299     -0.099  
   459) 2021/01/05 18:30:00     3.055     -0.128  
   460) 2021/01/05 18:45:00     2.788     -0.161  
   461) 2021/01/05 19:00:00     2.512     -0.191  
   462) 2021/01/05 19:15:00     2.234     -0.214  
   463) 2021/01/05 19:30:00     1.955     -0.237  
   464) 2021/01/05 19:45:00     1.695     -0.249  
   465) 2021/01/05 20:00:00     1.463     -0.255  
   466) 2021/01/05 20:15:00     1.283     -0.244  
   467) 2021/01/05 20:30:00     1.162     -0.221  
   468) 2021/01/05 20:45:00     1.118     -0.174  
   469) 2021/01/05 21:00:00     1.121     -0.135  
   470) 2021/01/05 21:15:00     1.152     -0.114  
   471) 2021/01/05 21:30:00     1.217     -0.094  
   472) 2021/01/05 21:45:00     1.309     -0.072  
   473) 2021/01/05 22:00:00     1.414     -0.050  
